Windows API DLLs
Function Names and Corresponding DLLs
Upl. Courtesy User Friendly, Inc.
June 24, 1991


    This list does not give the return values or the
calling parameters for each function.  To find this
out, search for the function name in the include file
"windows.h", which is supplied with the "Windows 3.0
Software Development Kit" (Microsoft Corp., 1990).

    If you do not have access to this file, the same
information will be found in the book "Microsoft
Windows Programmer's Reference" (Microsoft Press,
1990).  This book may be found in most major
bookstores.

I know that a list of declares would be more useful
and I will try to find the time to do this but I
thought at this point, anything would help.  Hope
so! -=- Jonathan Zuck



Function Name                   Windows DLL
-------------                   -----------
SetPolyFillMode                 gdi.exe
SetPriority                     kernel.exe
SetProp                         user.exe
SetRect                         user.exe
SetRectEmpty                    user.exe
SetRectRgn                      gdi.exe
SetRelAbs                       gdi.exe
SetResourceHandler              kernel.exe
SetROP2                         gdi.exe
SetScrollPos                    user.exe
SetScrollRange                  user.exe
SetSoundNoise                   sound.drv
SetStretchBltMode               gdi.exe
SetSwapAreaSize                 kernel.exe
SetSysColors                    user.exe
SetSysModalWindow               user.exe
SetTextAlign                    gdi.exe
SetTextCharacterExtra           gdi.exe
SetTextColor                    gdi.exe
SetTextJustification            gdi.exe
SetTimer                        user.exe
SetViewportExt                  gdi.exe
SetViewportOrg                  gdi.exe
SetVoiceAccent                  sound.drv
SetVoiceEnvelope                sound.drv
SetVoiceNote                    sound.drv
SetVoiceQueueSize               sound.drv
SetVoiceSound                   sound.drv
SetVoiceThreshold               sound.drv
SetWindowExt                    gdi.exe
SetWindowLong                   user.exe
SetWindowOrg                    gdi.exe
SetWindowPos                    user.exe
SetWindowsHook                  user.exe
SetWindowText                   user.exe
SetWindowWord                   user.exe
ShowCaret                       user.exe
ShowCursor                      user.exe
ShowOwnedPopups                 user.exe
ShowScrollBar                   user.exe
ShowWindow                      user.exe
SizeofResource                  kernel.exe
StartSound                      sound.drv
StopSound                       sound.drv
StretchBlt                      gdi.exe
SwapMouseButton                 user.exe
SyncAllVoices                   sound.drv
TextOut                         gdi.exe
Throw                           kernel.exe
TranslateAccelerator            user.exe
TranslateMessage                user.exe
TransmitCommChar                user.exe
UngetCommChar                   user.exe
UnhookWindowsHook               user.exe
UnionRect                       user.exe
UnlockSegment                   kernel.exe
UnrealizeObject                 gdi.exe
UpdateWindow                    user.exe
ValidateFreeSpaces              kernel.exe
ValidateRect                    user.exe
ValidateRgn                     user.exe
WaitMessage                     user.exe
WaitSoundState                  sound.drv
WindowFromPoint                 user.exe
WriteComm                       user.exe
WriteProfileString              kernel.exe
Yield                           kernel.exe
